Note,Octave,MIDI,Frequency
A,-1,9,13.75
A,0,21,27.5
A,1,33,55
A,2,45,110
A,3,57,220
A,4,69,440
A,5,81,880
A,6,93,1760
A,7,105,3520
A,8,117,7040
B,-1,11,15.434
B,0,23,30.868
B,1,35,61.735
B,2,47,123.47
B,3,59,246.94
B,4,71,493.88
B,5,83,987.77
B,6,95,1975.5
B,7,107,3951.1
B,8,119,7902.1
C,-1,0,8.176
C,0,12,16.352
C,1,24,32.703
C,2,36,65.406
C,3,48,130.81
C,4,60,261.63
C,5,72,523.25
C,6,84,1046.5
C,7,96,2093
C,8,108,4186
C,9,120,8372
D,-1,2,9.177
D,0,14,18.354
D,1,26,36.708
D,2,38,73.416
D,3,50,146.83
D,4,62,293.66
D,5,74,587.33
D,6,86,1174.7
D,7,98,2349.3
D,8,110,4698.6
D,9,122,9397.3
E,-1,4,10.301
E,0,16,20.602
E,1,28,41.203
E,2,40,82.407
E,3,52,164.81
E,4,64,329.63
E,5,76,659.26
E,6,88,1318.5
E,7,100,2637
E,8,112,5274
E,9,124,10548.1
F,-1,5,10.914
F,0,17,21.827
F,1,29,43.654
F,2,41,87.307
F,3,53,174.61
F,4,65,349.23
F,5,77,698.46
F,6,89,1396.9
F,7,101,2793.8
F,8,113,5587.7
F,9,125,11175.3
G,-1,7,12.25
G,0,19,24.5
G,1,31,48.999
G,2,43,97.999
G,3,55,196
G,4,67,392
G,5,79,783.99
G,6,91,1568
G,7,103,3136
G,8,115,6271.9
G,9,127,12543.9
