,Instrument,Strings & Courses,Tuning(s),Alternative Names,Origin,Notes,Picture,StandardTuning
0,Ahenk,12 strings 6 courses,Standard/Common: A3 A3•B3 B3•E4 E4•A4 A4•D5 D5•G5 G5 Alternates: May also use various oud tunings,,Turkey,,,A3:A3:B3:B3:E4:E4:A4:A4:D5:D5:G5:G5
1,Ajayu,12 strings 5 courses,Standard/Common: A A•E E•A A•C# C# C#•F# F# F# Alternate:  C C•G G•C C•E E E•A A A,,Chile,"A very recent instrument, invented in 2007",,
2,Akkordolia,4 strings 4 courses,F2 A2 C3 F3,"Taishogoto, Bulbul-tarang, Benju",Germany & Austria / Japan / India / Pakistan,"There are also a number of drone strings, the number and tuning of which vary widely.",,F2:A2:C3:F3
3,Akonting,3 courses 3 strings,Common: Casamance: D3 G3 F4 Gambian: C3 F3 E4,"Ekonting, Bunchundo, Econtin, Konting",Senegal,Often strung with fishing line. A rare 4-string version also exists.,,
4,Amzad,1 string 1 course,No standard tuning; tuned to any convenient note.,Imzad,"Niger, Mali, Algeria",Horse hair string.,,
5,Archlute,27 strings 14 courses,F1 F2•G1 G2•A1 A2•B1 B2•C2 C3• D2 D3•E2 E3•F2 F3•G2 G2•C2 C2• F3 F3•A3 A3•D4 D4•G4,"Arciliuto, Erzlaute.",Europe,"Number of courses could vary from 11-14, and the number of strings from 21-27.","12-course, 23-string archlute:",F1:F2:G1:G2:A1:A2:B1:B2:C2:C3:D2:D3:E2:E3:F2:F3:G2:G2:C2:C2:F3:F3:A3:A3:D4:D4:G4
6,Armonico,7 strings 6 courses,E3•A3•D4•G4 G4•B3•E4,,Cuba,,,E3:A3:D4:G4:G4:B3:E4
7,Arpeggione,6 strings 6 courses,E2 A2 D3 G3 B3 E4,,"Vienna, Austria",Rare. Tuning is same as guitar.,,E2:A2:D3:G3:B3:E4
8,Autoharp,36 strings 36 courses,F2 G2 C3 D3 E3 F3 F#3 G3 A3 A#3 B3 C4 C#4 D4 D#4 E4 F4 F#4 G4 G#4 A4 A#4 B4 C5 C#5 D5 D#5 E5 F5 F#5 G5 G#5 A5 A#5 B5 C6,Chord zither,USA,"Instruments with additional strings exist (from 37 - 48 totalstrings), but are very rare.",,F2:G2:C3:D3:E3:F3:G3:A3:B3:C4:D4:E4:F4:G4:A4:B4:C5:D5:E5:F5:G5:A5:B5:C6
9,Baglamas,6 strings 3 courses,D4 D5•A4 A4•D5 D5,"Baglama, Baglama Saz, Baglamadaki",Greece,"Standard AKA ""Modal D""",,D4:D5:A4:A4:D5:D5
10,Bajo quinto,10 strings 5 courses,A2 A1•D3 D2•G2 G2•C3 C3•F3 F3,,Mexico,"True 10-string bajo quintos are made, but many so-called ""bajo quintos"" are really bajo sextos with the lowest course removed.",,A2:A1:D3:D2:G2:G2:C3:C3:F3:F3
11,Bajo Sexto,12 strings 6 courses,Standard/Common (All fourths): E2 E1•A2 A1•D3 D2•G2 G2•C3 C3•F3 F3 Alternate:  Guitar:  E2 E1•A2 A1•D3 D2•G2 G2•B2 B2•E3 E3,,Mexico,"In practice the bottom course is often removed(2 strings), making the instrument effectively a bajo quinto.",,E2:E1:A2:A1:D3:D2:G2:G2:C3:C3:F3:F3
12,"Balalaika, Alto",3 strings 3 courses,E3 E3 A3,Alto,Russia,See Ekkel (1997) for all Balalaika tunings.[5],,E3:E3:A3
13,"Balalaika, Bass",3 strings 3 courses,Standard: E2 A2 D3 Old Orchestral:  E2 A2 E3,Bass,Russia,,,E2:A2:D3
14,"Balalaika, Contrabass",3 strings 3 courses,Standard: E1 A1 D2 Old Orchestral:  E1 A1 E2,Contrabass,Russia,,,E1:A1:D2
15,"Balalaika, Descant",3 strings 3 courses,E5 E5 A5,Descant,Russia,Obsolete,,E5:E5:A5
16,"Balalaika, Piccolo",3 strings 3 courses,Standard: B4 E5 A5 Old Orchestral:  E4 A4 E5,Piccolo,Russia,Rare,,B4:E5:A5
17,"Balalaika, Prima",3 strings 3 courses,Standard/Common: E4 E4 A4 Alternates:  Folk: C4 E4 G4 Russian guitar: G3 B3 D4,Prima,Russia,This is the standard instrument of the balalaika family,,E4:E4:A4
18,"Balalaika, Prima, 6-string",6 strings 3 courses,Standard: E4 E4 • E4 E4 • A4 A4 Alternates:  Same as for 3-string prima,Prima,Russia,"A more recent development, professionals consider these inferior to 3-string instruments.",,E4:E4:E4:E4:A4:A4
19,"Balalaika, Secunda",3 strings 3 courses,A3 A3 D4,Secunda,Russia,"Often just a prima with altered tuning, though slightly larger secundas are also made.",,A3:A3:D4
20,"Balalaika, Tenor",3 strings 3 courses,E3 A3 E4,Tenor,Russia,Obsolete,,E3:A3:E4
21,Bandola Andina Colombiana,16 strings 6 courses,F#3 F#3•B3 B3•E4 E4 E4•A4 A4 A4•D5 D5 D5•G5 G5 G5,,Colombia,,,B3:B3:E4:E4:E4:A4:A4:A4:D5:D5:D5:G5:G5:G5
22,Bandola Llanera,4 strings 4 courses,A2 D3 A3 E4,,Venezuela,,,A2:D3:A3:E4
23,Bandola Oriental,8 strings 4 courses,G3 G3•D4 D4•A4 A4•E5 E5,,Venezuela,,,G3:G3:D4:D4:A4:A4:E5:E5
24,Bandolin,15 strings 6 courses,E5 E4 E5•A5 A4 A5•D5 D5 D5•F#5 F#5 F#5•B5 B5 B5,,Ecuador,,,E5:E4:E5:A5:A4:A5:D5:D5:D5:B5:B5:B5
25,"Bandurria, Philippine",14 strings 6 courses,F#3•B3 B3•E4 E4•A4 A4 A4•D5 D5 D5•G5 G5 G5,,Philippines,One octave higher than the Philippine laud.,,B3:B3:E4:E4:A4:A4:A4:D5:D5:D5:G5:G5:G5
26,"Bandurria, Spanish",12 strings 6 courses,G#3 G#3•C#4 C#4•F#4 F#4•B4 B4•E5 E5•A5 A5,,Spain,"Standard tuning AKA ""Spanish tuning"", one octave higher than the laud.",,B4:B4:E5:E5:A5:A5
27,"Banjo, Bass",4 strings 4 courses,E1 A1 D2 G2,,US,"The Cello banjo is sometimes called ""bass banjo"", but it is tuned differently, and there are true bass banjos as well.",,E1:A1:D2:G2
28,"Banjo, Cello",4 strings 4 courses,C2 G2 D3 A3,"""bass"" banjo",US,Same as used for the cello.,,C2:G2:D3:A3
29,"Banjo, Cello",5 strings 5 courses,G3 D2 G2 B2 D3,banjo cello,US,One octave lower than 5-string Bluegrass Banjo.,,G3:D2:G2:B2:D3
30,"Banjo, Contrabass",3 strings 3 courses,Standard/Common: E1 A1 D2 Alternates:  D1 G1 C2 D1 A1 D2 C1 G1 C2,,US,"Essentially in the same range as the bass banjo, but with a much larger resonator. These instruments are very rare, and tuning is not standardized.",[6][7],E1:A1:D2
31,Banjo (5-string),5 strings 5 courses,Standard/Common: G4 D3 G3 B3 D4 Alternates:  C tuning: G4 C3 G3 B3 D4 Double C: G4 C3 G3 C3 D4 Sawmill: G4 D3 G3 C3 D4 Open D: F#4 D3 F#3 A3 D4 Guitar: G4 D3 G3 B3 E4 Willie Moore: G4 D3 G3 A3 D4 Doc Bog's D: F#4 D3 G3 A3 D4 Cumberland Gap:G4 E3 A3 D3 E4 G Minor: G4 D3 G3 Bb3 D4 Open C: G4 C3 G3 C3 E4,Bluegrass Banjo,US via Africa,"Standard AKA ""Open G"" Sawmill AKA ""Mountain Modal"" Open D AKA ""Graveyard,"" ""Reuben"" Guitar AKA ""Old G,"" ""Sandy River Belle""  There are dozens of other, less common tunings.",,G4:D3:G3:B3:D4
32,Banjolin,4 strings 4 courses,G3 D4 A4 E5,,US,Hybrid of mandolin and banjo,,G3:D4:A4:E5
33,"Banjo, Long Neck",5 strings 5 courses,E4 B2 E3 G#3 B3,"""Pete Seeger"" Banjo",US (commissioned by Pete Seeger),Open string tuning; often played with capo on 3rd fret,,E4:B2:E3:B3
34,"Banjo, Tenor",4 strings 4 courses,Standard/Common (all fifths): C3 G3 D4 A4 Alternate:  Irish (all fifths): G2 D3 A3 E4,US,US via Africa,Irish tuning same as octave mandolin tuning,,C3:G3:D4:A4
35,"Banjo, Plectrum",4 strings 4 courses,C3 G3 B3 D4,,US via Africa,,,C3:G3:B3:D4
36,Baryton,17 strings 17 courses Two ranks,Bowed rank: A1 D2 G3 C3 E3 A3 D4 Plucked rank: A2 D3 E3 F#3 G3 A3 B3 C#3 D4 E4,,Europe (Germany?),"Seven bowed strings, and 10 resonating strings, also plucked with the left thumb",,A1:D2:G3:C3:E3:A3:D4
37,Basprim,,"(See Brac, 5 string)",,,,"(See Brac, 5 string)",
38,"Biscernica, 5 string",5 strings 4 courses,C#3•F#3•B3•E4 E4,Bisernica,Balkans,The prim has 5 strings; there is another bisernica which has 6 strings.,,B3:E4:E4
39,"Bisernica, 6 string",6 strings 4 courses,E3•A3•D4 D4•G4 G4,Tamburitza,"Croatia, Serbia, Hungary, Slovenia",Other courses are sometimes doubled.,,E3:A3:D4:D4:G4:G4
40,Bordonua,10 strings 5 courses,A2 A3•D4 D3•F#3 F#4•B3 B3•E4 E4,,Puerto Rico,,,A2:A3:D4:D3:B3:B3:E4:E4
